date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:08	1257/1257	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202019%2006:18:14%20GMT	https://techbtt.site/robots.txt		(from )
22:18:08	42181/42181	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2015:48:34%20GMT	https://techbtt.site/	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/index.html	(from )
22:18:09	33532/33532	---M--	200	added ('OK')	image/png	etag:%2282fc-5fb7f227-9c823083498b671f;;;%22	https://techbtt.site/img/logo.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/logo.png	(from https://techbtt.site/)
22:18:09	4024/4024	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fb8-5fb7f227-d0df4c0bae70816a;gz%22	https://techbtt.site/img/tron.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/tron.svg	(from https://techbtt.site/)
22:18:09	170556/170556	---MCZ	200	added ('OK')	text/css	etag:W/%2229a45-5fb7f225-6f26fd94fef79bff;gz%22	https://techbtt.site/css/fontawesome/css/all.css	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/css/all.css	(from https://techbtt.site/)
22:18:09	36228/36228	---MCZ	200	added ('OK')	text/css	etag:W/%22c053-5fb7f226-c0da36c4264c5d9d;gz%22	https://techbtt.site/css/style.css?v=3.24	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/styleb03e.css	(from https://techbtt.site/)
22:18:09	1118/1118	---MCZ	200	added ('OK')	text/css	etag:W/%224ba-5fb7f225-a9c4ab99261c5981;gz%22	https://techbtt.site/css/animation.css	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/animation.css	(from https://techbtt.site/)
22:18:09	14776/14776	---MCZ	200	added ('OK')	text/css	etag:W/%2240ff-5fb7f225-7eb6adcea84ec5a2;gz%22	https://techbtt.site/css/adaptive.css?v=3.24	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/adaptiveb03e.css	(from https://techbtt.site/)
22:18:11	86842/86842	---M-Z	200	added ('OK')	application/x-javascript	etag:%221533a-5fb7f227-6c80a0ba738a811d;gz%22	https://techbtt.site/js/jquery-3.3.1.min.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/jquery-3.3.1.min.js	(from https://techbtt.site/)
22:18:12	33472/33472	---M-Z	200	added ('OK')	image/svg+xml	etag:%2282c0-5fb7f227-5b6a037a12c41b95;gz%22	https://techbtt.site/img/flags/ara2.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/flags/ara2.svg	(from https://techbtt.site/)
